State,Nene,Kim,Kandi,Porsha,Kenya
Georgia,18,17,24,19,22
Louisiana,18,14,25,18,25
Mississippi,20,12,26,16,26
Maryland,20,13,22,18,27
South Carolina,17,17,26,17,23
Alabama,18,15,24,20,23
District of Columbia,19,14,24,20,23
North Dakota,11,58,9,9,13
North Carolina,20,16,23,15,26
Virginia,18,17,24,16,25
Delaware,21,24,20,13,22
New Jersey,17,28,18,14,23
Michigan,16,19,21,16,28
Montana,7,61,10,5,17
Rhode Island,18,32,12,13,25
Tennessee,19,22,21,16,22
Arkansas,15,16,26,19,24
New York,19,23,19,15,24
West Virginia,17,35,17,8,23
Pennsylvania,17,27,19,15,22
Florida,19,22,21,17,21
Arizona,18,35,15,14,18
Missouri,16,24,21,19,20
Connecticut,15,30,16,15,24
Texas,19,20,21,17,23
Ohio,18,25,21,13,23
Indiana,18,27,20,13,22
Kentucky,17,30,19,12,22
Oklahoma,18,28,21,14,19
Minnesota,16,35,17,14,18
Illinois,18,22,20,17,23
Iowa,13,40,14,12,21
Wisconsin,16,32,19,14,19
Washington,18,35,14,12,21
Nevada,19,25,19,14,23
Maine,13,47,8,10,22
California,17,28,16,16,23
Wyoming,18,60,15,2,5
Massachusetts,18,29,15,14,24
New Mexico,17,37,13,11,22
Colorado,14,37,16,13,20
Nebraska,19,31,14,16,20
New Hampshire,17,36,16,13,18
Kansas,21,27,16,14,22
South Dakota,21,44,7,7,21
Idaho,13,45,11,10,21
Hawaii,13,23,18,21,25
Oregon,16,40,14,12,18
Vermont,18,45,8,13,16
Alaska,29,20,24,7,20
Utah,19,35,16,13,17
